Untitled Report

Date/Time Generated,1/8/19 5:23 PM
Report Time Zone,America/New_York
SubAccount Name,FuelX Inc.
Account ID,46002
Date Range,12/9/18 - 1/7/19

Report Fields
Advertiser ID,Clicks,Impressions,Click-through Conversions,View-through Conversions
8824950,788,0,0.00,0.00
9079677,6234,0,0.00,0.00
9079680,95,0,0.00,0.00
9079689,302,0,0.00,0.00
9080565,3119,0,0.00,0.00
9080577,779,0,0.00,0.00
9080580,3121,0,0.00,0.00
9080817,493,0,0.00,0.00
9080820,937,0,0.00,0.00
9080829,637,0,0.00,0.00
9082872,1134,0,0.00,0.00
9082878,525,0,0.00,0.00
9082899,597,0,0.00,0.00
9083487,3289,0,0.00,0.00
9083493,1013,0,0.00,0.00
9083496,3436,0,0.00,0.00
9083499,762,0,0.00,0.00
9083514,523,0,0.00,0.00
9086145,615,0,0.00,0.00
9086148,326,0,0.00,0.00
9086151,519,0,0.00,0.00
9086154,670,0,0.00,0.00
9086160,914,0,0.00,0.00
9089906,1606,0,0.00,0.00
9089909,572,0,0.00,0.00
9089912,855,0,0.00,0.00
9089921,289,0,0.00,0.00
9089924,2608,0,0.00,0.00
9089930,262,0,0.00,0.00
9089933,1070,0,0.00,0.00
9091265,821,0,0.00,0.00
9091268,326,0,0.00,0.00
9091271,245,0,0.00,0.00
9091274,678,0,0.00,0.00
9091277,234,0,0.00,0.00
9091283,50,0,0.00,0.00
9091310,495,0,0.00,0.00
9091646,152,0,0.00,0.00
9091649,2543,0,0.00,0.00
9091652,384,0,0.00,0.00
9091655,290,0,0.00,0.00
9091661,292,0,0.00,0.00
9091961,817,0,0.00,0.00
9091964,172,0,0.00,0.00
9091967,664,0,0.00,0.00
9091970,263,0,0.00,0.00
9091973,667,0,0.00,0.00
9092109,349,0,0.00,0.00
9093053,125,0,0.00,0.00
9093056,1068,2,0.00,0.00
9094856,25344,0,0.00,0.00
9095003,154,0,0.00,0.00
9095006,1,0,0.00,0.00
9095009,586,0,0.00,0.00
9095012,843,0,0.00,0.00
9095015,123,0,0.00,0.00
9095033,14,0,0.00,0.00
9097585,357,0,0.00,0.00
9098788,2459,278667,6.00,7.00
9100858,1099,0,0.00,0.00
9100864,1211,0,0.00,0.00
9100870,5773,0,0.00,0.00
9100873,3117,0,0.00,0.00
9108349,240,0,0.00,0.00
9108352,214,0,0.00,0.00
9108355,890,0,0.00,0.00
9108358,485,0,0.00,0.00
9108361,441,0,0.00,0.00
9108373,423,0,0.00,0.00
9108382,2003,0,0.00,0.00
9124547,158,0,0.00,0.00
Grand Total:,94660,278669,6.00,7.00
